L_min,channel,tau_quantile,tau_value,show_rate_val,recall_at_10_given_shown_val,recall_at_10_overall_val,ci95_low,ci95_high
20,entropy,0.95,2.302311475351503,0.05002337540906966,0.6542056074766355,0.8597475455820477,0.6173752310536045,0.6949925069076944
20,normalized_gap,0.5,0.04172362694337834,0.5000467508181393,0.9040762902019447,0.8597475455820477,0.8958764667959632,0.9118192105870142
20,normalized_gap,0.6,0.05445730440176463,0.4,0.9144460028050491,0.8597475455820477,0.9068858202940584,0.9224641092420371
20,normalized_gap,0.7,0.07113721702090761,0.3000467508181393,0.9248987223434092,0.8597475455820477,0.9153600274636161,0.9339450658820465
20,normalized_gap,0.8,0.09181496730206015,0.2,0.9359513791491351,0.8597475455820477,0.9253209565392306,0.9465742180354856
20,normalized_gap,0.9,0.12449976018781685,0.10004675081813932,0.9523364485981308,0.8597475455820477,0.9374603587199144,0.9637392609639825
20,normalized_gap,0.95,0.15382351174469394,0.05002337540906966,0.9570093457943926,0.8597475455820477,0.9384837962962963,0.9738596656414119
20,ensemble,0.5,0.7087457978358338,0.5000467508181393,0.9216529543754675,0.8597475455820477,0.914756718233004,0.9289565672221524
20,ensemble,0.6,0.7121669047703812,0.4,0.9277699859747546,0.8597475455820477,0.9207075266173147,0.9352415573704065
20,ensemble,0.7,0.7945068577528,0.3000467508181393,0.9354939233406045,0.8597475455820477,0.9265802073802989,0.9449404720945945
20,ensemble,0.8,0.8421052631578947,0.25759700794763907,0.9390199637023593,0.8597475455820477,0.9303173260137522,0.9479820977170621
20,ensemble,0.9,0.8421052631578947,0.25759700794763907,0.9390199637023593,0.8597475455820477,0.9290893636905625,0.9484170481446776
20,ensemble,0.95,0.8421052631578947,0.25759700794763907,0.9390199637023593,0.8597475455820477,0.9291181925802676,0.9480631113352594
30,max_score,0.5,0.9831546515226364,0.5,0.921794134560092,0.8607437224458501,0.9141638942244612,0.9285606472278826
30,max_score,0.6,0.9899444925785064,0.40003833620854895,0.928605654048874,0.8607437224458501,0.9202021282923317,0.9364425105317234
30,max_score,0.7,0.9969439589977264,0.2999808318957255,0.9364217252396166,0.8607437224458501,0.9275945246719761,0.9448613894068729
30,max_score,0.8,1.0,0.25666091623538434,0.9398805078416729,0.8607437224458501,0.9320309865151213,0.9492267184808122
30,max_score,0.9,1.0,0.25666091623538434,0.9398805078416729,0.8607437224458501,0.9308296403528292,0.948931499334743
30,max_score,0.95,1.0,0.25666091623538434,0.9398805078416729,0.8607437224458501,0.9306173069750093,0.9490045506257111
30,max_score_calibrated,0.5,0.4343598055105348,0.9009009009009009,0.8767021276595744,0.8607437224458501,0.8699235404431059,0.8831740068007028
30,max_score_calibrated,0.6,0.4343598055105348,0.9009009009009009,0.8767021276595744,0.8607437224458501,0.8708320675941076,0.8832118727667316
30,max_score_calibrated,0.7,0.592,0.3867165037377803,0.9288723667905824,0.8607437224458501,0.9217319059518999,0.936787063012712
30,max_score_calibrated,0.8,0.6842105263157895,0.25666091623538434,0.9398805078416729,0.8607437224458501,0.9306297344419715,0.9485310093203949
30,max_score_calibrated,0.9,0.6842105263157895,0.25666091623538434,0.9398805078416729,0.8607437224458501,0.9314959664005322,0.949065549560549
30,max_score_calibrated,0.95,0.6842105263157895,0.25666091623538434,0.9398805078416729,0.8607437224458501,0.9301361164404819,0.9485212665314988
30,margin,0.5,0.04065510481595991,0.5,0.9066513321832471,0.8607437224458501,0.8980858544153613,0.9145921411119778
30,margin,0.6,0.05344525039196006,0.40003833620854895,0.915428845232391,0.8607437224458501,0.9071566787258485,0.923949460378855
30,margin,0.7,0.07001148998737329,0.2999808318957255,0.9261980830670926,0.8607437224458501,0.9182054148418118,0.9359076300026478
30,margin,0.8,0.09041308283805853,0.20001916810427448,0.9381887877335889,0.8607437224458501,0.9277852163962069,0.9479433211245464
30,margin,0.9,0.12255742847919475,0.10005750431282347,0.9530651340996169,0.8607437224458501,0.9397089843051732,0.9649289099526066
30,margin,0.95,0.1506135231256486,0.050028752156411734,0.9559386973180076,0.8607437224458501,0.9380803683077779,0.9739123410464874
30,entropy,0.5,2.3014789275805514,0.5,0.8016101207590569,0.8607437224458501,0.7916956429204991,0.8115711832951897
30,entropy,0.6,2.301691803952691,0.40003833620854895,0.7872544321993292,0.8607437224458501,0.7754954906571158,0.7991980303312076
30,entropy,0.7,2.3018796105229717,0.2999808318957255,0.7702875399361022,0.8607437224458501,0.7551863993431729,0.7857499323067068
30,entropy,0.8,2.3020427137032313,0.20001916810427448,0.7494010541447054,0.8607437224458501,0.7286339435664309,0.7667342931772644
30,entropy,0.9,2.302211733728223,0.10005750431282347,0.7021072796934866,0.8607437224458501,0.6722489755039786,0.7279730956001373
30,entropy,0.95,2.302309898337735,0.050028752156411734,0.6590038314176245,0.8607437224458501,0.618718671679198,0.7007495621716288
30,normalized_gap,0.5,0.041555705649465285,0.5,0.9055012459267778,0.8607437224458501,0.8971923055875084,0.9128098975121084
30,normalized_gap,0.6,0.054363054450311886,0.40003833620854895,0.9151892668902731,0.8607437224458501,0.9071874848840815,0.9233957534876195
30,normalized_gap,0.7,0.0709046124709497,0.2999808318957255,0.9258785942492013,0.8607437224458501,0.9163829507840714,0.9355682949208423
30,normalized_gap,0.8,0.09118908873022206,0.20001916810427448,0.9367513176808816,0.8607437224458501,0.9256293123057093,0.9473090104062437
30,normalized_gap,0.9,0.12288178077407545,0.10005750431282347,0.9501915708812261,0.8607437224458501,0.9380600766512368,0.9633114630256567
30,normalized_gap,0.95,0.15095756843491512,0.050028752156411734,0.9559386973180076,0.8607437224458501,0.936688053423245,0.9740566620318171
30,ensemble,0.5,0.7087572285165856,0.5,0.921794134560092,0.8607437224458501,0.914845961533803,0.9295512327702548
30,ensemble,0.6,0.7121521490445206,0.40003833620854895,0.928605654048874,0.8607437224458501,0.9203057718593595,0.936806751797268
