run_id,model_family,config_path,split,unseen_policy,recall@1,recall@3,recall@5,recall@10,macro_f1,weighted_f1,mrr@10,ndcg@10,head_recall@10,mid_recall@10,tail_recall@10,latency_p50_ms,latency_p95_ms,taxonomy_version,splits_version,splits_legacy_random_val,notes
20260505_213207_three_way_w_0p20_0p40_0p40,three_way_hybrid,experiments/three_way_fusion_v1/configs/three_way_weighted_zscore.yaml,test,known_only,0.4427,0.6254,0.7118,0.8358,0.1515,0.4221,0.5596,0.6252,0.8614,0.5238,0.1346,0.0876,0.1073,sha256:85f23a78d109c9be7430a46e6427f9070f6d267492970a7adba2a24f3840fe90,sha256:819b765df8368035d6c29b1a54477d760de429cfdc3b91eb69791049adfd16dc,false,"three_way_fusion_v1, fusion_mode=weighted_score_zscore"
20260505_213246_three_way_w_0p20_0p50_0p30,three_way_hybrid,experiments/three_way_fusion_v1/configs/three_way_weighted_zscore.yaml,test,known_only,0.4436,0.6290,0.7154,0.8409,0.1536,0.4240,0.5619,0.6282,0.8629,0.5893,0.1346,0.0858,0.1117,sha256:85f23a78d109c9be7430a46e6427f9070f6d267492970a7adba2a24f3840fe90,sha256:819b765df8368035d6c29b1a54477d760de429cfdc3b91eb69791049adfd16dc,false,"three_way_fusion_v1, fusion_mode=weighted_score_zscore"
20260505_213326_three_way_w_0p20_0p60_0p20,three_way_hybrid,experiments/three_way_fusion_v1/configs/three_way_weighted_zscore.yaml,test,known_only,0.4456,0.6314,0.7184,0.8417,0.1598,0.4268,0.5640,0.6300,0.8604,0.6458,0.1346,0.0874,0.1219,sha256:85f23a78d109c9be7430a46e6427f9070f6d267492970a7adba2a24f3840fe90,sha256:819b765df8368035d6c29b1a54477d760de429cfdc3b91eb69791049adfd16dc,false,"three_way_fusion_v1, fusion_mode=weighted_score_zscore"
20260505_213405_three_way_w_0p20_0p70_0p10,three_way_hybrid,experiments/three_way_fusion_v1/configs/three_way_weighted_zscore.yaml,test,known_only,0.4439,0.6334,0.7196,0.8334,0.1594,0.4259,0.5619,0.6267,0.8458,0.7262,0.2115,0.0889,0.1459,sha256:85f23a78d109c9be7430a46e6427f9070f6d267492970a7adba2a24f3840fe90,sha256:819b765df8368035d6c29b1a54477d760de429cfdc3b91eb69791049adfd16dc,false,"three_way_fusion_v1, fusion_mode=weighted_score_zscore"
20260505_213444_three_way_w_0p30_0p30_0p40,three_way_hybrid,experiments/three_way_fusion_v1/configs/three_way_weighted_zscore.yaml,test,known_only,0.4416,0.6175,0.7021,0.8224,0.1495,0.4212,0.5547,0.6183,0.8467,0.5298,0.1346,0.0874,0.1132,sha256:85f23a78d109c9be7430a46e6427f9070f6d267492970a7adba2a24f3840fe90,sha256:819b765df8368035d6c29b1a54477d760de429cfdc3b91eb69791049adfd16dc,false,"three_way_fusion_v1, fusion_mode=weighted_score_zscore"
20260505_213523_three_way_w_0p30_0p40_0p30,three_way_hybrid,experiments/three_way_fusion_v1/configs/three_way_weighted_zscore.yaml,test,known_only,0.4399,0.6210,0.7052,0.8253,0.1477,0.4200,0.5560,0.6200,0.8469,0.5774,0.1346,0.0867,0.1125,sha256:85f23a78d109c9be7430a46e6427f9070f6d267492970a7adba2a24f3840fe90,sha256:819b765df8368035d6c29b1a54477d760de429cfdc3b91eb69791049adfd16dc,false,"three_way_fusion_v1, fusion_mode=weighted_score_zscore"
20260505_213603_three_way_w_0p30_0p50_0p20,three_way_hybrid,experiments/three_way_fusion_v1/configs/three_way_weighted_zscore.yaml,test,known_only,0.4421,0.6239,0.7098,0.8231,0.1535,0.4225,0.5576,0.6208,0.8409,0.6339,0.1538,0.0868,0.1402,sha256:85f23a78d109c9be7430a46e6427f9070f6d267492970a7adba2a24f3840fe90,sha256:819b765df8368035d6c29b1a54477d760de429cfdc3b91eb69791049adfd16dc,false,"three_way_fusion_v1, fusion_mode=weighted_score_zscore"
20260505_213642_three_way_w_0p30_0p60_0p10,three_way_hybrid,experiments/three_way_fusion_v1/configs/three_way_weighted_zscore.yaml,test,known_only,0.4426,0.6246,0.7087,0.8200,0.1539,0.4239,0.5575,0.6201,0.8329,0.7054,0.1923,0.0857,0.1242,sha256:85f23a78d109c9be7430a46e6427f9070f6d267492970a7adba2a24f3840fe90,sha256:819b765df8368035d6c29b1a54477d760de429cfdc3b91eb69791049adfd16dc,false,"three_way_fusion_v1, fusion_mode=weighted_score_zscore"
20260505_213722_three_way_w_0p40_0p30_0p30,three_way_hybrid,experiments/three_way_fusion_v1/configs/three_way_weighted_zscore.yaml,test,known_only,0.4382,0.6115,0.6936,0.8105,0.1459,0.4179,0.5497,0.6117,0.8313,0.5744,0.1346,0.0866,0.1070,sha256:85f23a78d109c9be7430a46e6427f9070f6d267492970a7adba2a24f3840fe90,sha256:819b765df8368035d6c29b1a54477d760de429cfdc3b91eb69791049adfd16dc,false,"three_way_fusion_v1, fusion_mode=weighted_score_zscore"
20260505_213801_three_way_w_0p40_0p40_0p20,three_way_hybrid,experiments/three_way_fusion_v1/configs/three_way_weighted_zscore.yaml,test,known_only,0.4388,0.6146,0.6979,0.8087,0.1485,0.4192,0.5508,0.6122,0.8266,0.6161,0.1538,0.0862,0.1119,sha256:85f23a78d109c9be7430a46e6427f9070f6d267492970a7adba2a24f3840fe90,sha256:819b765df8368035d6c29b1a54477d760de429cfdc3b91eb69791049adfd16dc,false,"three_way_fusion_v1, fusion_mode=weighted_score_zscore"
20260505_213841_three_way_w_0p40_0p50_0p10,three_way_hybrid,experiments/three_way_fusion_v1/configs/three_way_weighted_zscore.yaml,test,known_only,0.4395,0.6183,0.7003,0.8024,0.1489,0.4205,0.5513,0.6113,0.8164,0.6637,0.2115,0.0869,0.1234,sha256:85f23a78d109c9be7430a46e6427f9070f6d267492970a7adba2a24f3840fe90,sha256:819b765df8368035d6c29b1a54477d760de429cfdc3b91eb69791049adfd16dc,false,"three_way_fusion_v1, fusion_mode=weighted_score_zscore"
20260505_213920_three_way_w_0p50_0p30_0p20,three_way_hybrid,experiments/three_way_fusion_v1/configs/three_way_weighted_zscore.yaml,test,known_only,0.4368,0.6083,0.6901,0.7939,0.1435,0.4169,0.5452,0.6045,0.8122,0.5893,0.1731,0.0867,0.1142,sha256:85f23a78d109c9be7430a46e6427f9070f6d267492970a7adba2a24f3840fe90,sha256:819b765df8368035d6c29b1a54477d760de429cfdc3b91eb69791049adfd16dc,false,"three_way_fusion_v1, fusion_mode=weighted_score_zscore"
20260505_214001_three_way_w_0p50_0p40_0p10,three_way_hybrid,experiments/three_way_fusion_v1/configs/three_way_weighted_zscore.yaml,test,known_only,0.4372,0.6110,0.6909,0.7888,0.1468,0.4183,0.5456,0.6037,0.8030,0.6458,0.2115,0.0866,0.1088,sha256:85f23a78d109c9be7430a46e6427f9070f6d267492970a7adba2a24f3840fe90,sha256:819b765df8368035d6c29b1a54477d760de429cfdc3b91eb69791049adfd16dc,false,"three_way_fusion_v1, fusion_mode=weighted_score_zscore"
20260505_214041_three_way_rrf_k60,three_way_hybrid,experiments/three_way_fusion_v1/configs/three_way_rrf.yaml,test,known_only,0.4188,0.6110,0.6945,0.8171,0.1418,0.4067,0.5397,0.6057,0.8386,0.5685,0.1538,0.1427,0.1897,sha256:85f23a78d109c9be7430a46e6427f9070f6d267492970a7adba2a24f3840fe90,sha256:819b765df8368035d6c29b1a54477d760de429cfdc3b91eb69791049adfd16dc,false,"three_way_fusion_v1, fusion_mode=rrf"
20260505_233545_eval_three_way_test,three_way_hybrid_promoted,E:/Python/orLLM/configs/final.yaml,test,known_only,0.4419,0.6358,0.7259,0.8555,0.1590,0.4250,0.5656,0.6345,0.8754,0.6369,0.1538,0.0007,0.0012,sha256:85f23a78d109c9be7430a46e6427f9070f6d267492970a7adba2a24f3840fe90,sha256:819b765df8368035d6c29b1a54477d760de429cfdc3b91eb69791049adfd16dc,false,"three_way_hybrid_promoted, fusion_mode=weighted_score_minmax, TASK-040 source_artifacts=20260505_232616_three_way_promoted"
20260507_135733_three_way_promoted,three_way_hybrid_promoted,configs/final.yaml,test,known_only,0.4419,0.6358,0.7259,0.8555,0.1590,0.4250,0.5656,0.6345,0.8754,0.6369,0.1538,0.0007,0.0011,sha256:85f23a78d109c9be7430a46e6427f9070f6d267492970a7adba2a24f3840fe90,sha256:819b765df8368035d6c29b1a54477d760de429cfdc3b91eb69791049adfd16dc,false,"final_three_way_train_only, fusion_mode=weighted_score_minmax, lambda=(0.10,0.70,0.20), TASK-030 source_artifacts=20260507_135733_three_way_promoted, DECISION-048 alpha"
